Nazwa dewelopera,Forma prawna dewelopera,Numer KRS,Nr wpisu do CEIDG,NIP,Nr REGON,Nr telefonu,Adres poczty elektronicznej,Adres strony internetowej dewelopera,Województwo adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Powiat adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Gmina adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Miejscowość adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Ulica adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Nr nieruchomości adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Nr lokalu adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Kod pocztowy adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,"Województwo adresu lokalu, w którym prowadzona jest sprzedaż","Powiat adresu lokalu, w którym prowadzona jest sprzedaż","Gmina adresu lokalu, w którym prowadzona jest sprzedaż","Miejscowość adresu lokalu, w którym prowadzona jest sprzedaż","Ulica adresu lokalu, w którym prowadzona jest sprzedaż","Nr nieruchomości adresu lokalu, w którym prowadzona jest sprzedaż","Nr lokalu adresu lokalu, w którym prowadzona jest sprzedaż","Kod pocztowy adresu lokalu, w którym prowadzona jest sprzedaż","Dodatkowe lokalizacje, w których prowadzona jest sprzedaż",Sposób kontaktu nabywcy z deweloperem,Województwo lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Powiat lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Gmina lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Miejscowość lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Ulica lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Nr nieruchomości lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Kod pocztowy lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,"Rodzaj nieruchomości: lokal mieszkalny, dom jednorodzinny",Nr lokalu lub domu jednorodzinnego nadany przez dewelopera,Cena m 2 powierzchni użytkowej lokalu mieszkalnego / domu jednorodzinnego [zł],Cena lokalu mieszkalnego lub domu jednorodzinnego będących przedmiotem umowy stanowiąca iloczyn ceny m2 oraz powierzchni [zł],"Cena lokalu mieszkalnego lub domu jednorodzinnego uwzględniająca cenę lokalu stanowiącą iloczyn powierzchni oraz metrażu i innych składowych ceny, o których mowa w art. 19a ust. 1 pkt 1), 2) lub 3) [zł]",Rodzaj części nieruchomości będących przedmiotem umowy,Oznaczenie części nieruchomości nadane przez dewelopera,"Cena części nieruchomości, będących przedmiotem umowy [zł]","Rodzaj pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali","Oznaczenie pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali","Wyszczególnienie cen pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali [zł]",Wyszczególnienie praw niezbędnych do korzystania z lokalu mieszkalnego lub domu jednorodzinnego,Wartość praw niezbędnych do korzystania z lokalu mieszkalnego lub domu jednorodzinnego [zł],"Wyszczególnienie rodzajów innych świadczeń pieniężnych, które nabywca zobowiązany jest spełnić na rzecz dewelopera w wykonaniu umowy przenoszącej własność","Wartość innych świadczeń pieniężnych, które nabywca zobowiązany jest spełnić na rzecz dewelopera w wykonaniu umowy przenoszącej własność [zł]","Adres strony internetowej, pod którym dostępny jest prospekt informacyjny","Wyszczególnienie rodzajów części nieruchomości oraz pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali, które znajdują się w ofercie dewelopera i są wymagane do zakupu","Wyszczególnienie rodzajów części nieruchomości oraz pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali, które znajdują się w ofercie dewelopera i są opcjonalne do zakupu",Grupa lokali przynależnych,Data od której obowiązuje oferta,Data do której obowiązuje oferta,_hash
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA001,22200,1347762,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,40ffff9cfd508b51e7668552bb51f9e35953cc8cec5f8996809bf2297d612450
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA002,24500,1003520,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,5793548b63b3c81889e7bde2b500a8e65d069dbc952496f25bae3cef101d4046
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA011,26000,1014520,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,b74ced1fc46c55cc788fcf22bc3cbead22ebc172cbac6ba6a92393d88e119752
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA012,26700,722235,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,5767b67bd2ffcb7097034e829576af3f9cdc9b3dac1a342760fc700d44a18088
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA039,24000,1427280,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,fd97381ad4af92a1f297bcf8a4690780a057faf58b6f58748ba589e398de4475
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA040,26300,881050,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,989876fed66c44533705d3b7e831597d1c3a9427570342bc3a9e7659c3033ec6
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA003,24500,952805,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,9ea41d311cb1a5107f7d590e5c34067786bf5bf9e33ba7388aede0c01e857b7e
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA041,27500,744975,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,e929e0ea6f4bc6c42257e8e597d0fa3fa24cc2744211edbd6da484b9da2e7d52
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA004,24000,1153680,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,7dc533fb5262741776b7718d4a31f2182eb682ca091ff068d92fb85eb1097575
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA042,26300,879998,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,8786e2b67687ca313412ae69be258db6389982d9f85109b9cfb4964c033b4902
